Cluster,Gmag,SourceId,dec,par,ra,spar
Hyades,13.833,3410787568757738752,19.7957,20.857,68.96715999999999,0.14300000000000002
Hyades,16.21,3410944730200538496,19.90922,24.439,70.25858000000001,0.052000000000000005
Hyades,17.765,3410856112139584000,20.13349,21.93,68.80695,0.092
Hyades,17.299,3230836376154368384,0.72725,21.166999999999998,70.6166,0.13
Hyades,15.037,3308433069254919424,14.1475,20.023,70.55226,0.032
Hyades,16.178,3308470968047333120,13.55727,20.338,71.81604,0.027000000000000003
Hyades,16.146,3308470968047333248,13.55666,20.27,71.81616,0.063
Hyades,12.337,3308428877366857728,14.076020000000002,21.239,70.36633,0.16699999999999998
Hyades,14.307,3308501926171656832,13.81135,21.971,72.29439,0.055999999999999994
Hyades,15.415,3391170490315215104,16.51645,19.185,81.30011999999999,0.040999999999999995
Hyades,15.83,51497418090942720,21.05099,21.518,59.55956,0.086
Hyades,16.500999999999998,51534045572176896,20.47796,23.811999999999998,58.08725,0.026000000000000002
Hyades,13.94,3306849703791332864,11.383,17.195999999999998,65.99831,0.013999999999999999
Hyades,7.357,3306922958753764992,11.736369999999999,22.031,66.94246,0.011000000000000001
Hyades,14.700999999999999,3307131900322333312,12.04386,21.081,65.33283,0.042
Hyades,14.262,3306722607119077120,12.71115,21.128,68.43778,0.023
Hyades,9.353,3306856541379219456,11.30567,23.886,65.60755,0.066
Hyades,16.24,3303530209469039616,10.74058,21.272,61.85266,0.042
Hyades,15.497,3303984513928122752,11.246189999999999,24.91,63.20865,0.046
Hyades,11.212,3407518510233429248,19.01783,18.738,75.77986999999999,0.008
Hyades,15.225,3309420014084185600,14.85077,21.892,68.46961999999999,0.062
Hyades,15.115,3405865089559635968,15.889879999999998,18.156,71.5221,0.046
Hyades,11.633,3309336867813205760,14.217479999999998,18.227,68.52255,0.012
Hyades,16.065,3309513270709857920,14.8547,16.065,68.588,0.17300000000000001
Hyades,4.545,3309419984020071552,14.844320000000002,21.691999999999997,68.46262,0.21899999999999997
Hyades,19.564,3309611539560293632,14.899410000000001,22.079,70.43859,0.132
Hyades,12.626,36629890579758592,11.26075,28.593000000000004,58.143840000000004,0.012
Hyades,13.857999999999999,119219294181874048,28.97455,20.868000000000002,50.6327,0.015
Hyades,14.126,154422804645274368,27.209909999999997,24.183000000000003,72.49202,0.024
Hyades,14.675,3306247446297683072,11.324069999999999,19.324,69.31108,0.028999999999999998
Hyades,13.630999999999998,3305860933600191872,10.704239999999999,21.596,67.81617,0.069
Hyades,6.905,3305871825637254912,10.751719999999999,21.488000000000003,67.73867,0.028999999999999998
Hyades,17.622,3305860933598991104,10.703330000000001,21.444000000000003,67.81548000000001,0.12
Hyades,14.884,3305881652522411520,10.923739999999999,23.154,67.83202,0.054000000000000006
Hyades,12.99,3306016372760404992,10.772,20.435,66.18385,0.027999999999999997
Hyades,13.665,149476479789791488,24.240289999999998,20.464000000000002,65.47175,0.07
Hyades,7.05,149313099234711680,24.40522,18.182000000000002,65.87711,0.002
Hyades,13.585999999999999,149543000243089024,24.51861,20.320999999999998,65.25316,0.017
Hyades,14.620999999999999,149327461604162688,24.10417,21.204,66.76357,0.034
Hyades,12.023,3295883999449691264,12.00928,21.185,70.37029,0.011000000000000001
Hyades,12.467,3295878703753707136,11.92042,19.02,70.51931,0.024
Hyades,13.831,3296045077903829888,12.88377,20.635,71.72077,0.027999999999999997
Hyades,12.921,147232651433766528,24.29645,20.514,70.85358000000001,0.033
Hyades,16.848,147258180719392512,24.61091,23.857,71.68808,0.04
Hyades,9.477,3412605297699792512,20.8821,23.64,71.78768000000001,0.032
Hyades,17.395,169163647804297216,31.929909999999996,23.622,62.433069999999994,0.036000000000000004
Hyades,12.155,3411031385460853248,20.45301,20.41,70.62666,0.031
Hyades,13.790999999999999,3411128795318922496,20.604670000000002,19.412,70.74407,0.055999999999999994
Hyades,14.274000000000001,3338650225766660992,9.44658,18.57,79.06628,0.028999999999999998
Hyades,6.251,3285426613077584384,5.410069999999999,23.072,68.02051999999999,0.034
Hyades,13.517000000000001,147469115153030528,25.57953,19.63,71.9825,0.006999999999999999
Hyades,15.709000000000001,147710938992084096,24.49873,17.467,69.2263,0.057
Hyades,7.312,48203487411427456,19.23333,21.664,65.05455,0.037000000000000005
Hyades,16.667,48190739948429184,19.48556,25.809,65.45714,0.21899999999999997
Hyades,8.43,48061409893621248,19.74053,20.665,67.15554,0.04
Hyades,6.487,46975436002187136,18.42312,21.264,62.67706,0.044000000000000004
Hyades,6.0329999999999995,3310615565476268032,13.864370000000001,20.965,65.22014,0.092
Hyades,13.577,3311038666998173184,14.42785,20.32,65.84973000000001,0.11900000000000001
Hyades,9.212,3310903740601986432,14.417670000000001,20.250999999999998,66.94643,0.004
Hyades,11.991,3310702770492165120,14.31635,20.738000000000003,64.8345,0.015
Hyades,15.115,3310814886318365568,13.92855,22.041,66.13186,0.032
Hyades,10.362,3310820624394671488,14.05202,23.105999999999998,65.97723,0.028999999999999998
Hyades,5.63,3311000119668435200,14.077110000000001,21.945,65.51516,0.063
