TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
263003176,130.01,,1,4,1,5,2,3,4,3.0,PC,,7.4371,0.006,,1,spoc,00:50:11.23,-83:44:37.56,139.424,0.055999999999999994,30.476,0.042,2458336.55957,0.002205,14.339928,0.003271,4.674277,0.530555,0.443928,0.026550999999999998,408.789337,408.789337,2.367528,1.1311950000000002,115.245193,835.651978,22.53896,57.5846,0.0945,6295.700195,56.480999,4.438,,1.1436600000000001,0.10287,,,"1,12,13",2018-09-05 18:34:18,2019-12-17 15:43:38,2020-01-16 02:34:07,Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.
89020549,132.01,,2,4,4,2,2,4,4,3.0,PC,,10.8061,0.006,,1,spoc,22:33:35.92,-43:26:12.74,35.553000000000004,0.043,-53.055,0.054000000000000006,2458326.9039310003,0.001768,2.109307,0.00025,2.0683279999999997,0.35793800000000003,1.498733,0.091942,1379.432007,1379.432007,3.3070839999999997,1.6464290000000001,687.428894,1305.950439,0.8454860000000001,163.678,0.987,5673.0,188.0,4.5538300000000005,0.4189,0.8792399999999999,0.17664100000000002,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Possible centroid shift toward faint star to the SE
219338557,133.01,,2,4,4,2,2,4,4,5.0,PC,,9.9762,0.006,,1,spoc,23:37:35.37,-58:57:18.28,196.638,0.043,-102.545,0.044000000000000004,2458327.291382,0.002752,8.1952,0.0014730000000000001,2.309555,0.457632,1.028066,0.08923099999999999,946.435791,946.435791,2.1608009999999997,1.9179259999999998,24.583944,567.9140620000001,0.8212209999999999,48.6326,0.06345,4028.0,170.0,4.559019999999999,0.20110799999999998,0.7089449999999999,0.059908,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,
234994474,134.01,,1,5,5,5,2,1,4,4.0,PC,,9.22978,0.006999999999999999,,1,spoc,23:20:06.86,-60:03:56.63,-319.961,0.102,-127.781,0.115,2458326.0332029997,0.001456,1.401461,0.00013700000000000002,1.264937,0.207902,0.614161,0.041098,565.503296,565.503296,1.583888,0.36033200000000004,151.581711,894.914307,0.8231930000000001,25.1496,0.0239,3794.0,69.0,4.67812,0.063226,0.598,0.018000000000000002,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Level 1 candidate
267263253,135.01,,5,5,5,5,4,5,5,5.0,PC,CP,9.2205,0.006,,1,spoc,00:29:18.94,-76:18:14.52,-2.97,0.037000000000000005,6.961,0.031,2458325.783813,0.00020800000000000001,4.126904,5.6999999999999996e-05,4.492686,0.016125999999999998,10.9872,0.036277,10068.554688,10068.554688,15.947767,2.122716,1454.030396,1574.936768,0.7776569999999999,196.852,0.774,6888.0,204.0,4.23416,0.35565399999999997,1.5479,0.20597100000000002,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,
410153553,136.01,,1,5,5,5,4,1,4,1.0,PC,CP,11.9238,0.008,,1,spoc,22:41:59.09,-69:10:19.59,334.35699999999997,0.083,-726.9739999999999,0.086,2458325.7260740004,0.000322,0.46291000000000004,1.1e-05,0.520794,0.106125,5.094966,0.19426,4681.644043,4681.644043,1.2676969999999999,0.366063,64.621811,723.1269530000001,0.817114,14.8846,0.0113,3043.0,63.0,5.0970699999999995,0.42669399999999996,0.179,0.032,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,Level 1 target. Potential short period small planet around an M dwarf.
62483237,139.01,,1,4,1,5,4,3,1,2.0,PC,,9.3636,0.006,,1,spoc,22:25:36.58,-34:54:34.97,26.43,0.071,-30.255,0.08,2458334.8963619997,0.001811,11.058421000000001,0.00257,2.136519,0.327214,1.48535,0.109118,1367.122803,1367.122803,2.687866,1.8146810000000002,24.043658999999998,564.7677610000001,0.8885370000000001,42.4061,0.0763,4356.0,173.0,4.53491,0.3608,0.7384189999999999,0.125859,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,Level 1 candidate
140068425,140.01,,3,4,4,3,4,4,4,5.0,PC,,9.7828,0.006,,1,spoc,22:01:12.43,-49:03:36.28,32.489000000000004,0.077,-15.437999999999999,0.075,2458327.3992919996,0.0013109999999999999,2.28139,0.000207,0.859711,0.116683,1.170393,0.107399,1077.3907470000001,1077.3907470000001,5.069735,5.087404,1742.578491,1647.850586,0.832334,337.105,5.7035,6174.0,194.0,4.27404,2.00568,1.31178,1.31178,,,1,2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,
403224672,141.01,,1,5,5,5,4,1,2,1.0,PC,CP,7.3839999999999995,0.006,,1,spoc,22:35:56.09,-59:51:53.38,-108.38799999999999,0.05,-84.419,0.064,2458325.5385740004,0.001209,1.007908,8.499999999999999e-05,1.534232,0.161406,0.239317,0.011465000000000001,220.394485,220.394485,1.974088,0.429755,2928.328857,1876.1809079999998,0.795608,48.0883,0.0989,5795.290039,44.580399,4.438,,1.18947,0.10689100000000001,,,1,2018-09-05 18:34:18,2019-12-17 15:43:31,2020-01-16 02:34:07,
425934411,142.01,,3,5,5,3,1,4,4,5.0,PC,,14.7109,0.006999999999999999,,1,spoc,00:18:25.41,-62:50:52.35,6.11,0.068,5.18,0.059000000000000004,2458325.4897459997,0.000851,0.853319,2.4e-05,1.139772,0.07435800000000001,30.666932,1.7989220000000001,27850.119141000003,27850.119141000003,21.801229,12.372589999999999,516.976685,1216.151001,22.001486,320.237,4.468999999999999,3658.0,162.0,4.438,,1.0,,,,"1,2",2018-09-05 18:34:18,2019-12-17 15:43:32,2020-01-16 02:34:07,Gaia stellar radii 0.69 Rsun.
